Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
KC1,,ADASYN,SVM,0.3857,0.6149,0.4729,0.6714,0.228,0.4454
KC1,,ADASYN,RF,0.4971,0.4334,0.4614,0.7017,0.286,0.4996
KC1,,ADASYN,XGB,0.4982,0.4175,0.4525,0.6854,0.2811,0.4959
KC1,,CostSensitive,LR,0.4226,0.5544,0.4787,0.6878,0.257,0.5086
KC1,,CostSensitive,SVM,0.4469,0.5125,0.4756,0.6796,0.2659,0.4685
KC1,,CostSensitive,RF,0.4804,0.4591,0.4671,0.6961,0.2806,0.4843
KC1,,CostSensitive,XGB,0.4814,0.4267,0.4511,0.676,0.2685,0.4989
KC1,IG,,LR,0.6063,0.1843,0.28,0.6758,0.2281,0.4742
KC1,IG,,SVM,0.639,0.166,0.2624,0.6636,0.2301,0.4879
KC1,IG,,RF,0.531,0.2772,0.3615,0.6888,0.238,0.4805
KC1,IG,,XGB,0.4789,0.2994,0.3649,0.6438,0.2131,0.4431
KC1,IG,SMOTE,LR,0.4038,0.5545,0.4656,0.6705,0.2354,0.476
KC1,IG,SMOTE,SVM,0.4294,0.532,0.4723,0.6698,0.2548,0.4634
KC1,IG,SMOTE,RF,0.4328,0.3984,0.4123,0.6596,0.2124,0.4587
KC1,IG,SMOTE,XGB,0.4692,0.4111,0.4371,0.6568,0.2532,0.4564
KC1,IG,ADASYN,LR,0.3702,0.6375,0.4677,0.6716,0.2167,0.4891
KC1,IG,ADASYN,SVM,0.3693,0.644,0.4682,0.6751,0.2187,0.4539
KC1,IG,ADASYN,RF,0.4338,0.4175,0.4232,0.6758,0.2196,0.4643
KC1,IG,ADASYN,XGB,0.462,0.4078,0.431,0.6682,0.2431,0.4954
KC1,IG,CostSensitive,LR,0.4066,0.5768,0.4766,0.6747,0.248,0.478
KC1,IG,CostSensitive,SVM,0.408,0.5415,0.464,0.6729,0.2333,0.4638
KC1,IG,CostSensitive,RF,0.4334,0.465,0.4473,0.6845,0.2377,0.4537
KC1,IG,CostSensitive,XGB,0.4261,0.3884,0.4053,0.6451,0.2051,0.4655
KC1,CFS,,LR,0.5922,0.1752,0.2687,0.6785,0.2141,0.472
KC1,CFS,,SVM,0.6375,0.1564,0.2503,0.6374,0.223,0.4742
KC1,CFS,,RF,0.5444,0.3191,0.3995,0.6816,0.2696,0.4835
KC1,CFS,,XGB,0.5147,0.3762,0.4321,0.6589,0.2754,0.4857
KC1,CFS,SMOTE,LR,0.4123,0.5638,0.475,0.6761,0.2485,0.4697
KC1,CFS,SMOTE,SVM,0.4227,0.5132,0.4599,0.6697,0.2405,0.4661
KC1,CFS,SMOTE,RF,0.4411,0.3954,0.4142,0.6731,0.2185,0.4759
KC1,CFS,SMOTE,XGB,0.4338,0.4016,0.4143,0.6643,0.2181,0.4644
KC1,CFS,ADASYN,LR,0.3768,0.6378,0.473,0.676,0.2274,0.469
KC1,CFS,ADASYN,SVM,0.3854,0.6214,0.4753,0.6744,0.2344,0.4515
KC1,CFS,ADASYN,RF,0.4708,0.4403,0.4518,0.6814,0.2645,0.4767
KC1,CFS,ADASYN,XGB,0.4536,0.3918,0.4187,0.6718,0.2326,0.4717
KC1,CFS,CostSensitive,LR,0.4154,0.564,0.478,0.6809,0.2536,0.4765
KC1,CFS,CostSensitive,SVM,0.4159,0.529,0.4647,0.6752,0.2413,0.4689
KC1,CFS,CostSensitive,RF,0.4228,0.4308,0.4224,0.6744,0.2146,0.4733
KC1,CFS,CostSensitive,XGB,0.4575,0.414,0.4296,0.6674,0.2359,0.4821
KC3,,,LR,0.34,0.2,0.2205,0.6923,0.1612,0.4795
KC3,,,SVM,0.0,0.0,0.0,0.7333,-0.0122,0.5293
KC3,,,RF,0.3667,0.1833,0.23,0.7366,0.1766,0.4841
KC3,,,XGB,0.515,0.275,0.325,0.6918,0.2736,0.496
KC3,,SMOTE,LR,0.4207,0.475,0.426,0.6556,0.2942,0.4655
KC3,,SMOTE,SVM,0.3244,0.3833,0.3087,0.6804,0.1617,0.4688
KC3,,SMOTE,RF,0.5067,0.3417,0.3918,0.7521,0.2998,0.5669
KC3,,SMOTE,XGB,0.3083,0.3583,0.3233,0.7636,0.2083,0.5769
KC3,,ADASYN,LR,0.3754,0.475,0.4024,0.6877,0.2702,0.5137
KC3,,ADASYN,SVM,0.3604,0.4583,0.3588,0.709,0.2255,0.476
KC3,,ADASYN,RF,0.4875,0.4583,0.4452,0.7578,0.3485,0.5988
KC3,,ADASYN,XGB,0.4283,0.3333,0.3313,0.737,0.2298,0.5095
KC3,,CostSensitive,LR,0.4124,0.5083,0.4391,0.6765,0.3107,0.4725
KC3,,CostSensitive,SVM,0.3275,0.5333,0.3974,0.7245,0.244,0.4821
